true_persona,age,monthly_income,savings_rate,pct_spend_discretionary,app_opens_per_week,avg_transaction_value,transactions_per_month,investment_balance,credit_utilization,months_active,monthly_spend
High-Income Investor,44,15970.0,0.289,0.348,3.5,178.39,19,138680.0,0.081,33,9870.0
Steady Middle,30,4100.0,0.06,0.313,11.9,78.61,25,7640.0,0.329,31,4280.0
Steady Middle,27,7240.0,0.117,0.385,11.9,30.32,32,8140.0,0.319,27,5870.0
Credit-Reliant Household,30,4940.0,0.008,0.29,8.8,62.93,38,240.0,0.588,31,4490.0
Budget-Conscious Saver,34,5610.0,0.242,0.275,6.5,46.8,29,3230.0,0.09,29,4370.0
High-Income Investor,55,15920.0,0.219,0.333,4.9,66.33,15,24770.0,0.052,25,11240.0
High-Income Investor,53,15060.0,0.377,0.29,4.5,203.51,26,34260.0,0.037,46,9800.0
Budget-Conscious Saver,40,4580.0,0.318,0.298,7.6,21.85,31,3920.0,0.297,24,2760.0
Budget-Conscious Saver,30,5800.0,0.181,0.118,4.0,58.72,19,1530.0,0.192,37,4120.0
Budget-Conscious Saver,37,3280.0,0.23,0.208,6.6,32.78,28,3280.0,0.19,19,2170.0
Budget-Conscious Saver,27,5060.0,0.2,0.344,13.0,49.56,19,4420.0,0.103,29,3810.0
Young Digital Spender,23,4270.0,0.059,0.619,19.2,46.87,65,460.0,0.5,49,4130.0
Young Digital Spender,27,2740.0,0.073,0.571,20.7,47.46,57,220.0,0.323,37,2530.0
Credit-Reliant Household,48,4080.0,-0.088,0.4,12.0,41.96,38,10.0,0.83,59,4440.0
High-Income Investor,57,8520.0,0.323,0.262,4.4,90.86,16,42260.0,0.122,40,5890.0
Young Digital Spender,21,4480.0,0.038,0.707,13.6,24.71,54,190.0,0.253,24,4230.0
Budget-Conscious Saver,30,6100.0,0.237,0.16,9.7,52.57,29,4800.0,0.212,18,5120.0
Budget-Conscious Saver,40,4900.0,0.347,0.189,10.9,72.37,17,2020.0,0.166,58,2950.0
Steady Middle,27,4890.0,0.115,0.222,10.1,64.66,31,3890.0,0.298,40,4940.0
High-Income Investor,47,13270.0,0.363,0.431,2.6,133.71,21,99030.0,0.067,43,7610.0
Credit-Reliant Household,29,2970.0,-0.021,0.458,7.2,22.76,43,100.0,0.758,47,3140.0
Credit-Reliant Household,54,2540.0,-0.005,0.548,9.6,49.75,32,240.0,0.799,1,2750.0
Credit-Reliant Household,46,2840.0,0.009,0.342,5.1,40.35,17,100.0,0.821,2,2410.0
Steady Middle,43,6440.0,0.086,0.426,10.0,40.58,33,3770.0,0.195,18,5760.0
Young Digital Spender,21,3060.0,0.02,0.512,21.1,5.0,72,30.0,0.423,45,3420.0
Steady Middle,48,5020.0,0.198,0.319,9.1,47.56,34,7320.0,0.246,31,4240.0
Credit-Reliant Household,51,2980.0,0.03,0.323,13.8,42.87,34,400.0,0.728,52,2500.0
Young Digital Spender,25,3760.0,0.05,0.656,18.3,45.81,64,310.0,0.316,34,3380.0
Steady Middle,36,5230.0,0.071,0.427,10.0,78.49,22,9260.0,0.223,40,4400.0
High-Income Investor,36,11940.0,0.178,0.426,3.2,173.65,9,30850.0,0.053,7,9900.0
Young Digital Spender,21,2980.0,0.02,0.574,27.2,26.18,50,200.0,0.408,26,2560.0
High-Income Investor,45,17590.0,0.349,0.409,10.4,147.99,6,52110.0,0.135,51,12460.0
Steady Middle,39,7930.0,0.139,0.447,9.4,87.43,41,10460.0,0.165,9,6720.0
Young Digital Spender,20,3350.0,0.06,0.625,23.5,31.24,69,330.0,0.475,37,2680.0
Steady Middle,26,6160.0,0.146,0.414,6.2,80.98,36,4820.0,0.226,20,5880.0
Steady Middle,36,7530.0,0.118,0.397,5.8,84.81,23,2850.0,0.184,22,7010.0
Credit-Reliant Household,32,4330.0,0.022,0.486,11.4,39.88,22,70.0,0.848,48,4700.0
Credit-Reliant Household,45,2570.0,-0.041,0.382,10.3,23.79,47,20.0,0.746,37,2930.0
Credit-Reliant Household,32,3660.0,-0.049,0.478,9.9,21.82,28,420.0,0.569,35,3700.0
Young Digital Spender,20,2760.0,0.036,0.516,24.0,42.12,30,130.0,0.508,38,2390.0
Budget-Conscious Saver,28,4250.0,0.302,0.124,7.2,48.62,22,5120.0,0.27,7,2930.0
Steady Middle,36,5570.0,0.149,0.344,6.3,40.05,27,10070.0,0.308,39,4680.0
Credit-Reliant Household,40,4630.0,0.062,0.281,17.0,24.03,12,110.0,0.9,41,4330.0
Steady Middle,37,7940.0,0.166,0.343,6.2,52.48,34,7450.0,0.207,11,6340.0
High-Income Investor,41,8560.0,0.382,0.318,3.1,122.89,32,130290.0,0.04,9,5860.0
High-Income Investor,45,14830.0,0.255,0.302,5.7,89.88,16,90970.0,0.11,31,11720.0
Budget-Conscious Saver,40,5150.0,0.299,0.201,11.1,28.07,21,510.0,0.097,30,3320.0
Budget-Conscious Saver,41,3060.0,0.303,0.289,7.4,81.94,17,2750.0,0.175,9,2020.0
Young Digital Spender,26,4160.0,0.064,0.518,29.0,39.02,62,190.0,0.446,16,3610.0
Credit-Reliant Household,34,4460.0,-0.071,0.448,7.9,21.73,36,120.0,0.681,37,4820.0
High-Income Investor,56,8880.0,0.383,0.497,6.9,55.37,13,102490.0,0.101,49,5210.0
High-Income Investor,51,17080.0,0.307,0.308,8.5,127.17,21,40020.0,0.101,30,10680.0
Young Digital Spender,22,2410.0,0.104,0.478,12.3,49.38,38,530.0,0.543,37,1900.0
Young Digital Spender,22,3260.0,-0.043,0.533,16.5,36.65,40,280.0,0.439,6,3230.0
Credit-Reliant Household,32,3440.0,0.004,0.448,15.0,26.1,29,130.0,0.816,44,3880.0
Young Digital Spender,24,2750.0,-0.029,0.575,21.7,21.82,58,240.0,0.565,58,2820.0
Budget-Conscious Saver,37,6490.0,0.253,0.16,7.3,58.11,18,1640.0,0.145,26,4320.0
Steady Middle,27,5330.0,0.054,0.325,4.5,62.5,37,4470.0,0.398,49,5680.0
High-Income Investor,53,12170.0,0.256,0.399,6.6,93.22,21,151310.0,0.088,19,9440.0
Steady Middle,39,6310.0,0.077,0.378,7.8,80.93,20,12770.0,0.287,13,5870.0
Young Digital Spender,23,3280.0,0.045,0.511,11.2,35.7,41,120.0,0.31,6,2740.0
Young Digital Spender,23,3040.0,0.093,0.684,19.4,44.45,63,360.0,0.467,29,2870.0
Budget-Conscious Saver,38,4410.0,0.182,0.059,8.8,31.17,39,1280.0,0.168,52,3750.0
Steady Middle,47,4520.0,0.113,0.333,5.3,39.71,30,14350.0,0.214,59,4590.0
Credit-Reliant Household,33,2580.0,0.1,0.456,9.2,14.15,33,50.0,0.657,43,2020.0
Young Digital Spender,20,3360.0,0.04,0.623,19.6,47.14,50,110.0,0.422,18,2990.0
Steady Middle,35,4720.0,0.116,0.309,11.9,81.67,23,14230.0,0.325,48,4180.0
Young Digital Spender,21,4020.0,-0.007,0.672,21.1,32.95,62,520.0,0.223,7,3800.0
Young Digital Spender,27,4410.0,0.001,0.516,15.2,29.27,46,20.0,0.488,32,4040.0
Young Digital Spender,21,2810.0,0.01,0.52,27.4,41.69,31,80.0,0.317,47,3090.0
High-Income Investor,46,16970.0,0.381,0.413,8.5,217.68,31,57110.0,0.191,19,11030.0
Credit-Reliant Household,44,4580.0,-0.011,0.491,4.8,52.75,40,60.0,0.553,29,5100.0
High-Income Investor,47,15310.0,0.264,0.36,4.5,210.33,5,71020.0,0.028,23,12710.0
Budget-Conscious Saver,32,3480.0,0.269,0.21,2.4,49.12,28,2010.0,0.065,58,2290.0
Steady Middle,33,7050.0,0.149,0.363,6.7,66.25,38,4320.0,0.324,35,6510.0
Budget-Conscious Saver,27,6050.0,0.126,0.211,8.5,70.66,15,1210.0,0.106,26,5160.0
Young Digital Spender,22,4240.0,0.082,0.597,26.5,29.94,52,370.0,0.472,15,3990.0
Budget-Conscious Saver,31,3390.0,0.224,0.287,7.3,59.08,21,2350.0,0.141,19,2540.0
Young Digital Spender,23,2890.0,0.039,0.612,17.8,33.59,56,210.0,0.481,13,2740.0
Credit-Reliant Household,45,4220.0,0.006,0.245,11.0,44.39,24,290.0,0.961,50,4060.0
Steady Middle,39,7180.0,0.167,0.315,6.0,32.85,35,7810.0,0.298,48,5710.0
High-Income Investor,48,13410.0,0.29,0.347,6.6,145.09,8,76950.0,0.159,18,8390.0
Credit-Reliant Household,50,4260.0,-0.015,0.353,11.5,52.1,33,100.0,0.744,47,3790.0
High-Income Investor,54,12360.0,0.316,0.312,5.3,133.67,16,70800.0,0.051,16,9510.0
Young Digital Spender,24,2360.0,0.071,0.568,29.6,55.96,68,280.0,0.528,49,2460.0
Budget-Conscious Saver,38,4750.0,0.23,0.165,6.5,43.81,19,3460.0,0.207,59,4130.0
Credit-Reliant Household,37,3240.0,0.006,0.509,12.6,46.79,27,290.0,0.827,58,3690.0
Budget-Conscious Saver,25,5310.0,0.237,0.315,4.9,52.23,20,3530.0,0.0,5,4250.0
Budget-Conscious Saver,32,6210.0,0.182,0.262,9.5,58.43,23,800.0,0.15,42,5820.0
High-Income Investor,40,8910.0,0.204,0.415,7.8,189.58,20,48180.0,0.131,57,8050.0
Budget-Conscious Saver,29,5470.0,0.336,0.244,3.8,49.66,30,3000.0,0.091,21,4110.0
Budget-Conscious Saver,41,6470.0,0.279,0.123,8.7,75.67,30,2120.0,0.165,49,5340.0
Steady Middle,28,6970.0,0.078,0.338,8.1,32.29,33,6850.0,0.304,11,7320.0
High-Income Investor,46,11040.0,0.283,0.45,7.0,95.62,22,27960.0,0.102,52,8880.0
Credit-Reliant Household,46,4670.0,0.034,0.335,10.5,29.42,46,50.0,0.646,11,4280.0
Steady Middle,40,6490.0,0.099,0.356,6.7,58.16,17,8840.0,0.222,23,5220.0
Young Digital Spender,27,3640.0,0.035,0.76,19.8,34.46,56,440.0,0.386,15,3890.0
Steady Middle,46,5530.0,0.133,0.421,7.9,72.04,28,7440.0,0.285,54,4800.0
Steady Middle,27,7590.0,0.068,0.397,11.1,47.46,22,5450.0,0.348,33,7290.0
High-Income Investor,37,11540.0,0.242,0.294,4.1,207.89,24,58410.0,0.06,15,8250.0
Young Digital Spender,27,4470.0,0.038,0.462,16.1,53.73,38,60.0,0.365,36,4880.0
High-Income Investor,54,15510.0,0.239,0.394,3.6,105.47,21,103530.0,0.0,30,10150.0
Credit-Reliant Household,46,4260.0,0.001,0.437,11.1,51.25,36,280.0,0.801,29,3910.0
Steady Middle,46,4540.0,0.124,0.387,9.7,72.76,24,4530.0,0.268,23,4320.0
Young Digital Spender,26,4380.0,0.086,0.654,29.0,52.44,43,430.0,0.454,26,3660.0
Budget-Conscious Saver,39,4980.0,0.199,0.313,4.0,49.96,32,4000.0,0.144,5,3540.0
Young Digital Spender,27,2720.0,0.025,0.632,28.4,29.83,54,530.0,0.392,41,2990.0
Young Digital Spender,22,3970.0,0.089,0.516,15.4,57.51,42,450.0,0.463,25,4060.0
Steady Middle,44,5600.0,0.129,0.347,8.1,85.69,31,12780.0,0.373,34,4780.0
Steady Middle,31,4690.0,0.19,0.397,7.9,67.29,42,10770.0,0.248,15,3530.0
Young Digital Spender,25,3750.0,0.007,0.527,17.8,30.63,47,200.0,0.323,39,4000.0
Budget-Conscious Saver,30,5050.0,0.304,0.23,5.4,66.87,26,3000.0,0.093,2,3380.0
Young Digital Spender,23,4290.0,0.05,0.644,11.5,42.98,36,20.0,0.39,18,3700.0
Credit-Reliant Household,32,3630.0,-0.054,0.45,14.6,24.53,25,130.0,0.732,52,3350.0
Credit-Reliant Household,39,4780.0,0.013,0.429,8.2,51.75,47,20.0,0.509,32,5380.0
Budget-Conscious Saver,39,4960.0,0.257,0.265,8.1,66.87,31,1900.0,0.226,49,3320.0
Budget-Conscious Saver,38,4870.0,0.225,0.176,3.7,44.64,30,1540.0,0.146,40,3840.0
Steady Middle,33,5160.0,0.167,0.394,7.5,89.21,23,2800.0,0.277,59,4210.0
Budget-Conscious Saver,40,4090.0,0.194,0.283,6.1,72.07,24,1890.0,0.181,40,3750.0
Steady Middle,26,7440.0,0.126,0.302,8.9,78.77,37,1990.0,0.288,2,7100.0
Steady Middle,49,7880.0,0.159,0.377,14.4,72.25,33,10690.0,0.299,43,7100.0
Budget-Conscious Saver,36,6130.0,0.259,0.179,4.9,82.51,23,3340.0,0.122,12,4110.0
Credit-Reliant Household,49,3220.0,0.023,0.493,5.4,18.9,30,40.0,0.835,25,3000.0
Credit-Reliant Household,44,2770.0,0.015,0.388,4.8,24.85,35,280.0,0.758,18,3030.0
Budget-Conscious Saver,29,4320.0,0.269,0.384,5.4,63.03,14,5060.0,0.107,40,3530.0
Steady Middle,27,6700.0,0.096,0.37,8.2,54.25,29,1740.0,0.342,52,6020.0
Credit-Reliant Household,32,3590.0,0.076,0.364,4.0,47.27,44,150.0,0.649,47,3310.0
Steady Middle,38,4340.0,0.105,0.349,7.4,64.15,27,2390.0,0.19,9,3660.0
High-Income Investor,48,8600.0,0.194,0.447,4.7,67.06,19,58470.0,0.139,47,6240.0
Credit-Reliant Household,48,2660.0,0.002,0.333,8.6,41.92,24,150.0,0.888,33,2960.0
Steady Middle,42,7120.0,0.115,0.314,7.4,47.22,29,2070.0,0.286,3,5450.0
Budget-Conscious Saver,37,4120.0,0.326,0.115,9.2,55.92,26,2630.0,0.083,46,2860.0
Steady Middle,49,5440.0,0.064,0.275,11.4,36.22,37,6410.0,0.38,3,4970.0
Young Digital Spender,26,3550.0,0.052,0.458,25.9,32.11,62,180.0,0.422,9,3330.0
High-Income Investor,35,16500.0,0.243,0.281,7.4,168.91,21,42800.0,0.21,21,12900.0
Steady Middle,31,5090.0,0.154,0.378,6.8,67.12,29,11380.0,0.356,38,4580.0
Budget-Conscious Saver,32,6200.0,0.293,0.254,1.8,54.98,28,980.0,0.235,55,3730.0
Budget-Conscious Saver,31,6400.0,0.176,0.275,5.8,57.39,20,2390.0,0.093,55,5030.0
Young Digital Spender,21,3180.0,0.051,0.564,23.1,26.41,62,700.0,0.302,47,3260.0
Budget-Conscious Saver,29,4410.0,0.224,0.211,9.7,56.7,15,990.0,0.127,53,3820.0
High-Income Investor,36,14650.0,0.245,0.284,5.5,158.15,17,31370.0,0.127,44,10590.0
High-Income Investor,55,10240.0,0.372,0.381,5.8,145.03,12,81910.0,0.027,14,5790.0
Steady Middle,31,5570.0,0.189,0.257,5.0,74.61,27,1400.0,0.348,47,4520.0
Budget-Conscious Saver,29,4220.0,0.292,0.238,6.9,69.68,17,2030.0,0.199,18,2540.0
High-Income Investor,56,16480.0,0.221,0.349,4.7,117.57,18,157580.0,0.074,18,12700.0
Budget-Conscious Saver,41,4330.0,0.202,0.111,9.4,61.91,28,1220.0,0.213,8,3310.0
Steady Middle,28,6260.0,0.172,0.369,7.4,78.89,27,7970.0,0.268,22,4610.0
Young Digital Spender,24,4040.0,0.076,0.554,26.3,27.34,63,430.0,0.318,2,4110.0
Credit-Reliant Household,36,4210.0,0.031,0.425,7.4,31.47,25,100.0,0.92,19,4670.0
Credit-Reliant Household,38,4410.0,-0.008,0.322,12.7,26.36,28,130.0,0.697,17,5110.0
Steady Middle,42,6050.0,0.101,0.407,11.1,64.62,42,5810.0,0.331,48,5370.0
Credit-Reliant Household,53,4960.0,-0.048,0.515,13.2,28.16,19,130.0,0.783,47,5210.0
Credit-Reliant Household,48,4560.0,-0.007,0.371,6.7,38.21,25,60.0,0.593,6,4560.0
Steady Middle,39,6850.0,0.059,0.362,9.4,77.57,32,840.0,0.158,1,6740.0
Young Digital Spender,26,2580.0,0.081,0.595,29.6,15.46,35,0.0,0.545,51,2120.0
Budget-Conscious Saver,31,4600.0,0.129,0.193,6.1,80.02,30,380.0,0.118,46,4210.0
Young Digital Spender,27,3100.0,0.053,0.622,13.5,24.51,50,160.0,0.526,7,3150.0
Budget-Conscious Saver,40,5720.0,0.182,0.188,9.9,50.69,24,2220.0,0.166,3,4190.0
Budget-Conscious Saver,27,3370.0,0.189,0.302,4.7,40.01,13,2080.0,0.227,37,2960.0
Credit-Reliant Household,28,4410.0,-0.028,0.441,6.7,46.85,38,240.0,0.913,49,4610.0
Steady Middle,47,6730.0,0.138,0.336,8.0,69.71,29,5560.0,0.119,9,5800.0
Steady Middle,33,5870.0,0.097,0.325,3.4,41.06,23,7020.0,0.245,6,5830.0
Credit-Reliant Household,42,3210.0,0.019,0.404,9.4,40.49,40,220.0,0.618,6,2730.0
Credit-Reliant Household,50,3590.0,0.044,0.466,8.1,32.91,46,40.0,0.845,23,3300.0
Steady Middle,34,7300.0,0.195,0.339,6.3,47.78,31,4040.0,0.184,51,5810.0
Steady Middle,42,4360.0,0.07,0.303,6.6,48.34,24,7400.0,0.227,3,3840.0
Steady Middle,39,7310.0,0.181,0.312,12.4,34.91,22,7460.0,0.276,7,6500.0
High-Income Investor,40,12740.0,0.297,0.34,5.3,94.5,8,62270.0,0.155,51,7930.0
Young Digital Spender,21,3060.0,0.039,0.599,18.6,17.9,44,20.0,0.499,9,2990.0
Steady Middle,42,4330.0,0.153,0.325,6.5,62.18,36,3920.0,0.271,9,4180.0
Steady Middle,42,4150.0,0.017,0.288,10.0,56.56,31,5850.0,0.425,6,3470.0
Budget-Conscious Saver,30,5440.0,0.216,0.181,6.4,58.92,25,1510.0,0.105,57,4380.0
Budget-Conscious Saver,30,6000.0,0.278,0.283,10.3,33.08,25,5410.0,0.259,35,4300.0
Steady Middle,35,6950.0,0.067,0.359,6.3,68.89,26,2740.0,0.185,24,6140.0
Steady Middle,49,4750.0,0.123,0.381,10.9,36.9,35,3060.0,0.25,17,4480.0
Steady Middle,36,7880.0,0.15,0.379,8.9,49.88,41,2900.0,0.163,45,6950.0
High-Income Investor,35,8440.0,0.345,0.367,6.2,210.4,20,81240.0,0.0,51,5390.0
High-Income Investor,36,14060.0,0.279,0.335,0.0,87.55,20,49070.0,0.013,41,9510.0
Credit-Reliant Household,46,2670.0,0.011,0.362,11.2,54.57,17,80.0,0.498,45,2460.0
Budget-Conscious Saver,35,4070.0,0.291,0.252,8.1,34.31,19,6440.0,0.111,42,2450.0
Young Digital Spender,27,3620.0,0.08,0.619,12.1,19.4,56,20.0,0.405,7,3510.0
Steady Middle,45,7940.0,0.108,0.319,2.3,62.42,14,14000.0,0.219,58,6920.0
High-Income Investor,52,8020.0,0.399,0.395,1.9,111.42,22,130850.0,0.113,6,5320.0
Credit-Reliant Household,43,3890.0,0.006,0.519,8.1,47.42,39,30.0,0.7,20,3520.0
Steady Middle,29,5040.0,0.155,0.338,4.2,86.68,32,3700.0,0.196,58,4830.0
Credit-Reliant Household,38,2620.0,-0.017,0.45,7.5,30.47,26,150.0,0.744,49,3020.0
Young Digital Spender,23,4230.0,0.07,0.596,22.2,22.05,71,420.0,0.457,8,4520.0
Credit-Reliant Household,36,3150.0,-0.063,0.393,6.3,13.51,30,160.0,0.58,11,3610.0
Steady Middle,34,7240.0,0.158,0.257,5.3,58.8,33,10690.0,0.195,56,6870.0
High-Income Investor,46,15220.0,0.24,0.348,2.9,183.88,31,13850.0,0.076,42,12480.0
Budget-Conscious Saver,27,3970.0,0.322,0.132,4.5,42.74,23,2830.0,0.068,17,2460.0
Young Digital Spender,24,3910.0,0.099,0.441,30.6,57.38,55,90.0,0.187,31,3910.0
High-Income Investor,36,16270.0,0.266,0.342,7.1,177.27,20,55830.0,0.15,34,11800.0
High-Income Investor,52,9890.0,0.245,0.276,3.8,85.08,23,114980.0,0.03,33,8140.0
Young Digital Spender,26,3120.0,0.043,0.741,20.4,67.74,61,80.0,0.406,31,2560.0
Credit-Reliant Household,48,4830.0,-0.031,0.381,13.3,36.16,30,50.0,0.69,19,5100.0
Steady Middle,39,5170.0,0.151,0.31,10.9,83.44,35,5340.0,0.246,18,5010.0
Steady Middle,41,6870.0,0.145,0.346,9.7,80.11,22,15460.0,0.354,24,5190.0
Young Digital Spender,21,2790.0,0.038,0.605,12.0,49.61,48,150.0,0.285,42,2680.0
Steady Middle,30,6560.0,0.097,0.386,6.8,59.41,34,2680.0,0.213,32,6120.0
Budget-Conscious Saver,35,5730.0,0.332,0.235,4.3,38.94,27,2530.0,0.112,38,4070.0
Steady Middle,46,5290.0,0.073,0.418,6.3,87.1,34,2400.0,0.205,55,5430.0
Steady Middle,40,6440.0,0.142,0.356,13.4,47.05,33,7140.0,0.387,4,6210.0
Budget-Conscious Saver,32,5030.0,0.312,0.202,7.1,83.32,24,1880.0,0.158,11,3960.0
Credit-Reliant Household,48,3990.0,0.027,0.387,14.3,23.84,35,210.0,0.845,30,3520.0
Credit-Reliant Household,48,2820.0,-0.1,0.406,10.1,35.69,30,220.0,0.878,48,3020.0
Steady Middle,29,7010.0,0.121,0.277,6.1,70.89,34,7320.0,0.156,29,6880.0
High-Income Investor,45,13670.0,0.398,0.448,10.4,168.85,28,36680.0,0.027,22,7030.0
Young Digital Spender,22,2890.0,0.02,0.528,31.4,52.75,65,270.0,0.288,10,2970.0
Steady Middle,40,5080.0,0.056,0.397,5.4,62.31,23,1960.0,0.26,31,5410.0
High-Income Investor,39,10460.0,0.342,0.401,5.7,169.08,27,42390.0,0.096,29,6040.0
High-Income Investor,51,11950.0,0.308,0.406,5.4,127.28,22,117130.0,0.176,28,9410.0
Steady Middle,34,5020.0,0.155,0.366,11.3,37.96,19,7080.0,0.223,10,4790.0
Steady Middle,28,7560.0,0.061,0.38,6.4,81.15,26,14280.0,0.309,45,6400.0
Young Digital Spender,21,3520.0,0.07,0.394,20.8,32.96,58,480.0,0.439,54,2980.0
Budget-Conscious Saver,34,5760.0,0.353,0.216,3.8,38.83,30,2860.0,0.062,22,4250.0
Steady Middle,30,7240.0,0.074,0.367,3.8,81.78,21,3230.0,0.226,51,7160.0
Young Digital Spender,22,2400.0,0.0,0.573,19.3,27.05,44,420.0,0.218,49,2570.0
Young Digital Spender,26,4340.0,0.034,0.442,14.3,35.16,50,110.0,0.433,52,3680.0
Budget-Conscious Saver,35,6130.0,0.202,0.232,8.0,24.05,28,5320.0,0.124,46,4980.0
Budget-Conscious Saver,32,6400.0,0.358,0.179,4.0,67.61,18,1540.0,0.175,38,4290.0
Steady Middle,34,7190.0,0.129,0.295,13.4,74.81,30,2330.0,0.352,28,6910.0
High-Income Investor,46,13410.0,0.343,0.269,7.8,180.27,15,45930.0,0.197,46,7660.0
Budget-Conscious Saver,26,5640.0,0.193,0.324,7.5,58.62,12,1200.0,0.02,10,5160.0
High-Income Investor,53,16220.0,0.247,0.487,7.8,111.56,21,101390.0,0.175,31,10890.0
High-Income Investor,49,12520.0,0.293,0.464,3.7,161.81,24,115560.0,0.096,21,8120.0
Budget-Conscious Saver,27,6230.0,0.345,0.202,6.7,49.96,33,3160.0,0.246,39,3590.0
Budget-Conscious Saver,28,3710.0,0.236,0.249,7.3,61.95,21,2210.0,0.27,21,3030.0
High-Income Investor,56,15390.0,0.303,0.32,5.8,113.87,26,105200.0,0.063,12,9320.0
Budget-Conscious Saver,25,3710.0,0.187,0.173,7.5,73.86,25,1620.0,0.056,49,3350.0
Steady Middle,40,4560.0,0.132,0.37,8.7,91.25,14,2320.0,0.256,1,4370.0
Steady Middle,31,4140.0,0.146,0.397,7.9,32.24,24,11490.0,0.285,10,3820.0
High-Income Investor,39,11260.0,0.24,0.374,3.5,116.54,10,70020.0,0.099,18,7670.0
Young Digital Spender,23,3200.0,0.053,0.563,16.5,65.03,67,530.0,0.465,12,2860.0
Budget-Conscious Saver,38,5160.0,0.313,0.153,6.1,60.42,15,4030.0,0.17,16,3020.0
Young Digital Spender,25,4380.0,0.02,0.503,18.6,28.66,44,60.0,0.29,22,4440.0
Credit-Reliant Household,31,4270.0,-0.036,0.486,7.5,38.9,32,220.0,0.656,32,4770.0
Young Digital Spender,21,3760.0,0.038,0.658,23.7,38.49,66,120.0,0.258,47,3650.0
Credit-Reliant Household,48,4500.0,-0.057,0.32,12.5,30.41,17,280.0,0.934,1,4360.0
High-Income Investor,39,12080.0,0.222,0.283,3.9,68.51,13,64400.0,0.135,35,8800.0
Young Digital Spender,22,4350.0,0.026,0.521,18.8,48.95,42,320.0,0.275,32,3670.0
Budget-Conscious Saver,33,3750.0,0.29,0.166,5.0,49.99,30,2290.0,0.172,5,2610.0
Budget-Conscious Saver,26,5990.0,0.214,0.243,2.6,54.66,28,1410.0,0.229,31,4090.0
Young Digital Spender,21,3360.0,0.021,0.655,16.8,14.23,54,230.0,0.466,12,3560.0
Steady Middle,27,4000.0,0.012,0.331,9.8,63.63,22,1540.0,0.277,43,3370.0
High-Income Investor,44,17460.0,0.38,0.361,7.4,155.19,14,133340.0,0.185,22,10680.0
Steady Middle,26,7030.0,0.126,0.452,9.9,82.66,29,7720.0,0.306,46,6020.0
Budget-Conscious Saver,33,4800.0,0.265,0.177,8.1,49.15,15,4380.0,0.172,24,3970.0
Steady Middle,31,4710.0,0.132,0.429,9.6,30.82,33,10330.0,0.365,39,4370.0
Steady Middle,33,7950.0,0.156,0.493,12.4,77.48,25,10570.0,0.313,37,6120.0
Credit-Reliant Household,28,4160.0,-0.014,0.428,9.5,33.09,24,210.0,0.72,57,4190.0
Steady Middle,45,6030.0,0.031,0.393,8.2,42.55,34,3280.0,0.205,46,6280.0
Budget-Conscious Saver,25,6090.0,0.254,0.287,7.7,54.51,34,5360.0,0.197,54,4600.0
Credit-Reliant Household,30,4800.0,-0.041,0.492,7.0,25.19,25,70.0,0.814,6,5530.0
Young Digital Spender,21,4440.0,0.048,0.694,17.3,11.95,55,560.0,0.402,39,4720.0
Budget-Conscious Saver,34,5630.0,0.328,0.217,9.0,31.93,12,3940.0,0.157,40,3780.0
Steady Middle,32,5600.0,0.173,0.38,4.0,36.86,23,4290.0,0.147,51,4370.0
Young Digital Spender,21,4020.0,0.014,0.628,14.2,51.96,56,20.0,0.516,36,3750.0
Credit-Reliant Household,43,3980.0,-0.018,0.41,10.9,32.19,27,40.0,0.775,41,3720.0
Young Digital Spender,26,2750.0,0.031,0.693,12.5,21.82,51,460.0,0.369,11,2840.0
Young Digital Spender,22,4090.0,0.06,0.54,29.5,45.82,41,230.0,0.335,43,4290.0
Steady Middle,26,6050.0,0.167,0.398,4.6,73.91,21,8030.0,0.231,4,4700.0
Steady Middle,49,7450.0,0.138,0.381,10.8,55.61,33,11960.0,0.206,16,7160.0
Credit-Reliant Household,46,3690.0,-0.039,0.371,12.5,29.56,15,60.0,0.851,53,3570.0
Steady Middle,41,6680.0,0.148,0.427,7.5,33.26,23,8520.0,0.341,1,5210.0
Budget-Conscious Saver,41,3770.0,0.192,0.231,4.5,73.09,18,2520.0,0.082,24,3040.0
Budget-Conscious Saver,28,4130.0,0.19,0.235,10.4,64.6,16,3490.0,0.165,25,3380.0
Credit-Reliant Household,51,3920.0,-0.071,0.495,9.4,52.05,22,10.0,0.558,40,3950.0
Credit-Reliant Household,35,4410.0,-0.061,0.273,5.3,39.21,34,110.0,0.639,57,4860.0
Young Digital Spender,24,3530.0,0.035,0.452,30.9,57.32,61,90.0,0.536,43,3230.0
Steady Middle,30,7440.0,0.144,0.362,6.4,53.53,38,3650.0,0.308,30,5790.0
Credit-Reliant Household,54,3830.0,0.068,0.474,5.6,21.57,47,70.0,0.847,43,3380.0
Steady Middle,29,6960.0,0.147,0.358,10.3,63.95,45,7770.0,0.159,42,6760.0
Young Digital Spender,27,2740.0,0.071,0.47,17.0,54.11,73,120.0,0.315,16,2730.0
Steady Middle,46,6930.0,0.139,0.336,2.2,72.32,19,8270.0,0.371,2,6730.0
Steady Middle,28,5990.0,0.087,0.348,9.1,32.32,23,2350.0,0.199,55,5220.0
Steady Middle,37,5460.0,0.111,0.324,6.6,72.88,19,10230.0,0.271,12,5080.0
Budget-Conscious Saver,34,4290.0,0.295,0.05,8.2,36.62,23,5770.0,0.163,33,3100.0
